温迪,1.74
林尼,1.55
刻晴,0.97
神里绫华,1.16
钟离,1.64
妮露,0.97
甘雨,1.06
达达利亚,1.64
克洛琳德,0.58
枫原万叶,1.64
流浪者,1.93
迪卢克,1.55
仆人,1.35
胡桃,1.16
雷电将军,1.06
八重神子,1.06
芙宁娜,1.93
宵宫,1.16
纳西妲,1.06
可莉,1.16
那维莱特,1.55
空荧,1.16
